Job Title,Company Name,Company Logo,Location,Source URL,Posted Date
Junior Software Engineer,Halan - حالا,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-software-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4209766359?position=1&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=0mEcNBXcpvZoDx7Wu4jriQ%3D%3D,2025-04-16
Junior Frontend Engineer (Angular),Halan - حالا,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-frontend-engineer-angular-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4143467146?position=2&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=SwQWGetxhW9QHPYTIZUUfg%3D%3D,2025-02-04
JavaScript Developer,Nagwa,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/javascript-developer-at-nagwa-4195164446?position=3&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=wPfxwUdvfIefy9VJKoNEjg%3D%3D,2025-03-27
Front End Developer,SSC HR Solutions,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/front-end-developer-at-ssc-hr-solutions-4225398506?position=4&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=NaKLPELKInv%2B1Th3QdPKtg%3D%3D,2025-04-12
Operations Executive (Fresh graduates),Majid Al Futtaim,,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/operations-executive-fresh-graduates-at-majid-al-futtaim-4210737975?position=5&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=BPNa3lWyN6uvI4K%2FmhLDSA%3D%3D,2025-04-21
NodeJs Developer - Jumia (Full Time),Jumia Group,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/nodejs-developer-jumia-full-time-at-jumia-group-4148162575?position=6&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=8hyD56%2FwqUpk8jn1KSAimw%3D%3D,2025-02-11
Software Developer,Nile University,,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/software-developer-at-nile-university-4221132388?position=7&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=vbva6qGDOpChGsYqfGYH8w%3D%3D,2025-05-04
Junior Mean Stack Developer,Contellect Technologies Inc.,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-mean-stack-developer-at-contellect-technologies-inc-4225824542?position=8&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=5%2Bms%2FdeYt3SSqZ0Kl5RYpw%3D%3D,2025-05-11
Junior Java Developer,Advansys,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-java-developer-at-advansys-4224333966?position=9&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=R5F2Fcauwg1iTtYb6Uam8w%3D%3D,2025-04-11
Software Engineer - Backend (Remote),Lucidya | لوسيديا,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-engineer-backend-remote-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-4225398031?position=10&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=QGuI%2FpLgSYJOtJi9px09Cw%3D%3D,2025-04-12
Software Engineer,Brightly Software,,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-engineer-at-brightly-software-4143297316?position=11&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=ix0hyuJsGJ3ITL%2BXAis6OQ%3D%3D,2025-05-04
